Date,Open,High,Low,Close,Adj Close,Volume
2023-12-21,249.13999938964844,252.0,249.13999938964844,251.42999267578125,251.42999267578125,154400
2023-12-22,252.52000427246094,253.47000122070312,250.75,250.9499969482422,250.9499969482422,162500
2023-12-26,251.1300048828125,253.6300048828125,249.64999389648438,252.11000061035156,252.11000061035156,165500
2023-12-27,251.16000366210938,251.27999877929688,248.8000030517578,250.50999450683594,250.50999450683594,228700
2023-12-28,249.60000610351562,251.47999572753906,248.77999877929688,249.77000427246094,249.77000427246094,155500
2023-12-29,248.91000366210938,251.42999267578125,247.55999755859375,249.33999633789062,249.33999633789062,117700
2024-01-02,247.25999450683594,251.77999877929688,246.8800048828125,250.44000244140625,250.44000244140625,217100
2024-01-03,248.2100067138672,248.2100067138672,241.55999755859375,242.02000427246094,242.02000427246094,255400
2024-01-04,240.99000549316406,243.58999633789062,240.08999633789062,241.05999755859375,241.05999755859375,334900
2024-01-05,239.88999938964844,243.91000366210938,237.72999572753906,239.4600067138672,239.4600067138672,227400
2024-01-08,240.41000366210938,249.27000427246094,240.2100067138672,249.00999450683594,249.00999450683594,213400
2024-01-09,246.36000061035156,250.8300018310547,246.36000061035156,247.83999633789062,247.83999633789062,263900
