Date,Open,High,Low,Close,Adj Close,Volume
2023-12-21,70.69999694824219,71.22000122070312,70.05999755859375,70.93000030517578,70.93000030517578,3827800
2023-12-22,71.11000061035156,72.13999938964844,71.11000061035156,71.45999908447266,71.45999908447266,3018600
2023-12-26,71.55000305175781,72.5999984741211,71.55000305175781,72.38999938964844,72.38999938964844,1892500
2023-12-27,72.08000183105469,72.36000061035156,71.76000213623047,72.16999816894531,72.16999816894531,2372900
2023-12-28,71.98999786376953,72.4800033569336,71.93000030517578,72.2699966430664,72.2699966430664,2389700
2023-12-29,72.1500015258789,72.41000366210938,71.7699966430664,72.22000122070312,72.22000122070312,2195900
2024-01-02,72.3499984741211,73.2300033569336,72.18000030517578,72.76000213623047,72.76000213623047,3072600
2024-01-03,72.4800033569336,74.0199966430664,72.19000244140625,73.12999725341797,73.12999725341797,3760900
2024-01-04,73.1500015258789,73.25,71.72000122070312,71.75,71.75,3442200
2024-01-05,71.37000274658203,72.0,70.29000091552734,70.80999755859375,70.80999755859375,2926100
2024-01-08,70.33999633789062,71.08000183105469,69.7699966430664,71.05999755859375,71.05999755859375,3087500
2024-01-09,70.94000244140625,70.98999786376953,70.08999633789062,70.66999816894531,70.66999816894531,2875100
2024-01-10,70.68000030517578,70.88999938964844,69.30000305175781,69.33000183105469,69.33000183105469,3480400
2024-01-11,69.2699966430664,69.76000213623047,69.01000213623047,69.47000122070312,69.47000122070312,2739500
2024-01-12,70.0,70.51000213623047,69.4000015258789,69.55999755859375,69.55999755859375,2548600
2024-01-16,69.77999877929688,69.8499984741211,68.8499984741211,69.0999984741211,69.0999984741211,2941300
2024-01-17,68.5,69.51000213623047,68.3499984741211,68.91999816894531,68.91999816894531,2564600
2024-01-18,68.68000030517578,68.8499984741211,68.16000366210938,68.73999786376953,68.73999786376953,2608900
2024-01-19,68.76000213623047,68.80999755859375,68.0,68.19000244140625,68.19000244140625,5029600
2024-01-22,56.880001068115234,57.7599983215332,51.4900016784668,51.689998626708984,51.689998626708984,47342600
2024-01-23,52.22999954223633,54.189998626708984,51.810001373291016,52.310001373291016,52.310001373291016,24453600
2024-01-24,52.310001373291016,54.27000045776367,51.939998626708984,52.630001068115234,52.630001068115234,13638900
2024-01-25,52.630001068115234,53.11000061035156,50.720001220703125,51.380001068115234,51.380001068115234,13214200
2024-01-26,52.0099983215332,52.4900016784668,51.15999984741211,52.04999923706055,52.04999923706055,10768500
